Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
,,,"[0]132, [8]044, [9]044","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MATERIALS ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]145, [8]045, [9]045","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MATERIALS ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]145, [8]045, [9]045","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MATERIALS ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]145, [8]045, [9]045","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MATERIALS ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]145, [8]045, [9]045","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]150, [8]046, [9]046","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]150, [8]046, [9]046","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]150, [8]046, [9]046","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"MINING, GEOLOGICAL, NUCLEAR ENGINEERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]150, [8]046, [9]046","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PETROLEUM ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]152, [8]047, [9]047","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PETROLEUM ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]152, [8]047, [9]047","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PETROLEUM ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]152, [8]047, [9]047","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PETROLEUM ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]152, [8]047, [9]047","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,CHEMICAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]135, [8]048, [9]048","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,CHEMICAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]135, [8]048, [9]048","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,CHEMICAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]135, [8]048, [9]048","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,CHEMICAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]135, [8]048, [9]048","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,NUCLEAR ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]151, [8]049, [9]049","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,NUCLEAR ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]151, [8]049, [9]049","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,NUCLEAR ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]151, [8]049, [9]049","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,NUCLEAR ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]151, [8]049, [9]049","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,CIVIL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]136, [8]053, [9]053","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,CIVIL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]136, [8]053, [9]053","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,CIVIL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]136, [8]053, [9]053","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,CIVIL ENGINEERS,MN PERITONEUM AND PLEURA,247,<5,,6,1377
,,,"[0]136, [8]053, [9]053","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,AGRICULTURAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]133, [8]054, [9]054","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,AGRICULTURAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]133, [8]054, [9]054","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,AGRICULTURAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]133, [8]054, [9]054","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,AGRICULTURAL ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]133, [8]054, [9]054","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,COMPUTER HARDWARE ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]140,"[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,COMPUTER HARDWARE ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]140,"[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,COMPUTER HARDWARE ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]140,"[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,COMPUTER HARDWARE ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,[0]140,"[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]141, [8]055, [9]055","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ELECTRICAL & ELECTRONIC ENGINEERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]141, [8]055, [9]055","[0]C384, C48, [9]158, 163",,,,,
