Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
,,,"[0]771, 775, 793, 795, [8]717, [9]717","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"FABRICATING MACHINE OPERATORS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]771, 775, 793, 795, [8]717, [9]717","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"FABRICATING MACHINE OPERATORS, NEC",MN PERITONEUM AND PLEURA,194,<5,,5,1082
,,,"[0]771, 775, 793, 795, [8]717, [9]717","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"FABRICATING MACHINE OPERATORS, NEC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]771, 775, 793, 795, [8]717, [9]717","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MOLDING & CASTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]810, [8]719, [9]719","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MOLDING & CASTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]810, [8]719, [9]719","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MOLDING & CASTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]810, [8]719, [9]719","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MOLDING & CASTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]810, [8]719, [9]719","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"PLATING & COATING MACHINE SETTERS OPERATORS, METAL & PLASTIC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]820, [8]723, [9]723","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"PLATING & COATING MACHINE SETTERS OPERATORS, METAL & PLASTIC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]820, [8]723, [9]723","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"PLATING & COATING MACHINE SETTERS OPERATORS, METAL & PLASTIC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]820, [8]723, [9]723","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"PLATING & COATING MACHINE SETTERS OPERATORS, METAL & PLASTIC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]820, [8]723, [9]723","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"HEAT TREATING EQUIPMENT OPERATORS, METAL AND PLASTIC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]815, [8]724, [9]724","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"HEAT TREATING EQUIPMENT OPERATORS, METAL AND PLASTIC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]815, [8]724, [9]724","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"HEAT TREATING EQUIPMENT OPERATORS, METAL AND PLASTIC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]815, [8]724, [9]724","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"HEAT TREATING EQUIPMENT OPERATORS, METAL AND PLASTIC",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]815, [8]724, [9]724","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MISCELLANEOUS METAL & PLASTIC PROCESSING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]795, 822, [8]725, [9]725","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MISCELLANEOUS METAL & PLASTIC PROCESSING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]795, 822, [8]725, [9]725","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MISCELLANEOUS METAL & PLASTIC PROCESSING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]795, 822, [8]725, [9]725","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MISCELLANEOUS METAL & PLASTIC PROCESSING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]795, 822, [8]725, [9]725","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,WOODWORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]850-855, [8]656-658, 726-733, [9]656-658, 726-733","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,WOODWORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]850-855, [8]656-658, 726-733, [9]656-658, 726-733","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,WOODWORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]850-855, [8]656-658, 726-733, [9]656-658, 726-733","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,WOODWORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]850-855, [8]656-658, 726-733, [9]656-658, 726-733","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,WOODWORKING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]853-855, [8]726-733, [9]726-733","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,WOODWORKING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]853-855, [8]726-733, [9]726-733","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,WOODWORKING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]853-855, [8]726-733, [9]726-733","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,WOODWORKING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]853-855, [8]726-733, [9]726-733","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,CABINET MAKERS & CARPENTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]850, [8]657, [9]657","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,CABINET MAKERS & CARPENTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]850, [8]657, [9]657","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,CABINET MAKERS & CARPENTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]850, [8]657, [9]657","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,CABINET MAKERS & CARPENTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]850, [8]657, [9]657","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"WOODWORKERS, MACHINE SETTERS, OPERATORS & TENDERS, EXCEPT SAWING",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]854, [8]726, 728-729, 733, [9]726, 728-729, 733","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"WOODWORKERS, MACHINE SETTERS, OPERATORS & TENDERS, EXCEPT SAWING",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]854, [8]726, 728-729, 733, [9]726, 728-729, 733","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"WOODWORKERS, MACHINE SETTERS, OPERATORS & TENDERS, EXCEPT SAWING",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]854, [8]726, 728-729, 733, [9]726, 728-729, 733","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"WOODWORKERS, MACHINE SETTERS, OPERATORS & TENDERS, EXCEPT SAWING",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]854, [8]726, 728-729, 733, [9]726, 728-729, 733","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,FURNITURE FINISHERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]851, [8]658, [9]658","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,FURNITURE FINISHERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]851, [8]658, [9]658","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,FURNITURE FINISHERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]851, [8]658, [9]658","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,FURNITURE FINISHERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]851, [8]658, [9]658","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,WOOD MODEL & PATTERN MAKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]852, [8]656, [9]656","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,WOOD MODEL & PATTERN MAKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]852, [8]656, [9]656","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,WOOD MODEL & PATTERN MAKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]852, [8]656, [9]656","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,WOOD MODEL & PATTERN MAKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]852, [8]656, [9]656","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"WOOD WORKERS, ALL OTHER AND TENDERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]855, [8]733, [9]733","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"WOOD WORKERS, ALL OTHER AND TENDERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]855, [8]733, [9]733","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"WOOD WORKERS, ALL OTHER AND TENDERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]855, [8]733, [9]733","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"WOOD WORKERS, ALL OTHER AND TENDERS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]855, [8]733, [9]733","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,SAWING MACHINE OPERATORS & TENDERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]853, [8]727, [9]727","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,SAWING MACHINE OPERATORS & TENDERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]853, [8]727, [9]727","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,SAWING MACHINE OPERATORS & TENDERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]853, [8]727, [9]727","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,SAWING MACHINE OPERATORS & TENDERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]853, [8]727, [9]727","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PRINTING WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823-826, [8]734-737, [9]734-737","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PRINTING WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823-826, [8]734-737, [9]734-737","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PRINTING WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823-826, [8]734-737, [9]734-737","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PRINTING WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823-826, [8]734-737, [9]734-737","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PRINTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823-826, [8]734-737, [9]734-737","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PRINTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823-826, [8]734-737, [9]734-737","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PRINTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823-826, [8]734-737, [9]734-737","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PRINTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823-826, [8]734-737, [9]734-737","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,JOB PRINTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]824, [8]734, [9]734","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,JOB PRINTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]824, [8]734, [9]734","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,JOB PRINTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]824, [8]734, [9]734","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,JOB PRINTERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]824, [8]734, [9]734","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PREPRESS TECHNICIANS & WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]825, [8]735, 736, [9]735, 736","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PREPRESS TECHNICIANS & WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]825, [8]735, 736, [9]735, 736","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PREPRESS TECHNICIANS & WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]825, [8]735, 736, [9]735, 736","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PREPRESS TECHNICIANS & WORKERS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]825, [8]735, 736, [9]735, 736","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,BOOKBINDERS & PRINTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823, 826, [8]737, [9]737","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,BOOKBINDERS & PRINTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823, 826, [8]737, [9]737","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,BOOKBINDERS & PRINTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823, 826, [8]737, [9]737","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,BOOKBINDERS & PRINTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]823, 826, [8]737, [9]737","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"TEXTILE, APPAREL, & FURNISHING (TAF)MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830-846, 871, [8]738-749, [9]738-749","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"TEXTILE, APPAREL, & FURNISHING (TAF)MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830-846, 871, [8]738-749, [9]738-749","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"TEXTILE, APPAREL, & FURNISHING (TAF)MACHINE OPERATORS",MN PERITONEUM AND PLEURA,88,6,,32,191
,,,"[0]830-846, 871, [8]738-749, [9]738-749","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"TEXTILE, APPAREL, & FURNISHING (TAF)MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830-846, 871, [8]738-749, [9]738-749","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,WINDING & TWISTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]842, [8]738, [9]738","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,WINDING & TWISTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]842, [8]738, [9]738","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,WINDING & TWISTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]842, [8]738, [9]738","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,WINDING & TWISTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]842, [8]738, [9]738","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,KNITTING & WEAVING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]841, [8]739, [9]739","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,KNITTING & WEAVING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]841, [8]739, [9]739","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,KNITTING & WEAVING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,226,<5,,6,1259
,,,"[0]841, [8]739, [9]739","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,KNITTING & WEAVING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]841, [8]739, [9]739","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,TEXTILE CUTTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]840, 871, [8]743, [9]743","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,TEXTILE CUTTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]840, 871, [8]743, [9]743","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,TEXTILE CUTTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]840, 871, [8]743, [9]743","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,TEXTILE CUTTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]840, 871, [8]743, [9]743","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,TEXTILE SEWING MACHINE OPERATORS & TAILORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]832, 835, [8]744, [9]744, 748","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,TEXTILE SEWING MACHINE OPERATORS & TAILORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]832, 835, [8]744, [9]744, 748","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,TEXTILE SEWING MACHINE OPERATORS & TAILORS,MN PERITONEUM AND PLEURA,65,<5,,13,190
,,,"[0]832, 835, [8]744, [9]744, 748","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,TEXTILE SEWING MACHINE OPERATORS & TAILORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]832, 835, [8]744, [9]744, 748","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,SHOE & LEATHER MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]833-834, [8]745, [9]745","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,SHOE & LEATHER MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]833-834, [8]745, [9]745","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,SHOE & LEATHER MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]833-834, [8]745, [9]745","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,SHOE & LEATHER MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]833-834, [8]745, [9]745","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PRESSING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]831, [8]747, [9]747","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PRESSING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]831, [8]747, [9]747","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PRESSING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,425,<5,,11,2368
,,,"[0]831, [8]747, [9]747","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PRESSING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]831, [8]747, [9]747","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,LAUNDERING & DRY CLEANING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830, [8]748, [9]748","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,LAUNDERING & DRY CLEANING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830, [8]748, [9]748","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,LAUNDERING & DRY CLEANING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830, [8]748, [9]748","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,LAUNDERING & DRY CLEANING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]830, [8]748, [9]748","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,TEXTILE BLEACHING & DYING OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]836, 846, [8]749, [9]749","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,TEXTILE BLEACHING & DYING OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]836, 846, [8]749, [9]749","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,TEXTILE BLEACHING & DYING OPERATORS,MN PERITONEUM AND PLEURA,255,<5,,6,1423
,,,"[0]836, 846, [8]749, [9]749","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,TEXTILE BLEACHING & DYING OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]836, 846, [8]749, [9]749","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,ALL OTHER PRODUCTION OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]441, 783, 785, 792, 804, 843, 855, 864-865, 871-873, 876, 880-886, 890-894, 896, [8]753-779, [9]753-779","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ALL OTHER PRODUCTION OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]441, 783, 785, 792, 804, 843, 855, 864-865, 871-873, 876, 880-886, 890-894, 896, [8]753-779, [9]753-779","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,ALL OTHER PRODUCTION OPERATORS,MN PERITONEUM AND PLEURA,125,5,,40,291
,,,"[0]441, 783, 785, 792, 804, 843, 855, 864-865, 871-873, 876, 880-886, 890-894, 896, [8]753-779, [9]753-779","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ALL OTHER PRODUCTION OPERATORS,MN PERITONEUM AND PLEURA,197,<5,,54,505
,,,"[0]441, 783, 785, 792, 804, 843, 855, 864-865, 871-873, 876, 880-886, 890-894, 896, [8]753-779, [9]753-779","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,CEMENTING & GLUING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]885, [8]753, [9]753","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,CEMENTING & GLUING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]885, [8]753, [9]753","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,CEMENTING & GLUING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]885, [8]753, [9]753","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,CEMENTING & GLUING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]885, [8]753, [9]753","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PACKAGING & FILLING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]880, [8]754, [9]754","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,PACKAGING & FILLING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]880, [8]754, [9]754","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,PACKAGING & FILLING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,154,<5,,4,856
,,,"[0]880, [8]754, [9]754","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,PACKAGING & FILLING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]880, [8]754, [9]754","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,EXTRUDING & FORMING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]792, 843, 872, [8]755, [9]755","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,EXTRUDING & FORMING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]792, 843, 872, [8]755, [9]755","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,EXTRUDING & FORMING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]792, 843, 872, [8]755, [9]755","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,EXTRUDING & FORMING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]792, 843, 872, [8]755, [9]755","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MIXING & BLENDING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]865, [8]756, [9]756","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MIXING & BLENDING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]865, [8]756, [9]756","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MIXING & BLENDING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]865, [8]756, [9]756","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MIXING & BLENDING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]865, [8]756, [9]756","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,"SEPARATING, FILTERING, & CLARIFYING MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]864, [8]757, [9]757","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"SEPARATING, FILTERING, & CLARIFYING MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]864, [8]757, [9]757","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"SEPARATING, FILTERING, & CLARIFYING MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]864, [8]757, [9]757","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"SEPARATING, FILTERING, & CLARIFYING MACHINE OPERATORS",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]864, [8]757, [9]757","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,COMPRESSING & COMPACTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]872, [8]758, [9]758","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,COMPRESSING & COMPACTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]872, [8]758, [9]758","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,COMPRESSING & COMPACTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]872, [8]758, [9]758","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,COMPRESSING & COMPACTING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]872, [8]758, [9]758","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,PAINTING & PAINT SPRAYING MACHINE OPERATORS,MN PERITONEUM AND PLEURA,0,<5,,,
